tm,stn,ta_avg,ta_max,ta_min,hm_avg,ws_avg,rn_day,ss_day,si_day
2010-01-01,119,-7.1,-3.0,-13.6,59.1,1.2,,6.7,8.43
2010-01-02,119,-2.2,1.3,-5.9,76.9,2.1,0.5,0.0,2.95
2010-01-03,119,-5.7,-2.0,-9.9,56.4,1.1,,8.1,9.78
2010-01-04,119,-5.1,-2.5,-6.6,90.8,2.6,11.2,0.4,2.95
2010-01-05,119,-8.7,-5.4,-12.0,72.0,2.2,0.1,8.1,9.99
2010-01-06,119,-12.0,-5.7,-18.6,77.6,1.2,,6.6,9.73
2010-01-07,119,-11.2,-4.7,-17.7,76.6,0.8,0.0,8.8,10.03
2010-01-08,119,-9.6,-1.6,-16.4,79.3,0.7,,7.6,9.47
2010-01-09,119,-6.1,-1.2,-12.0,87.4,0.6,0.3,0.4,4.26
2010-01-10,119,-4.0,1.6,-8.4,86.4,0.9,,3.5,7.03
2010-01-11,119,-5.8,-0.9,-10.9,84.8,1.2,,0.1,4.2
2010-01-12,119,-8.8,-5.3,-12.1,59.3,2.0,,7.5,10.32
2010-01-13,119,-11.9,-8.3,-14.7,55.9,2.4,,8.9,10.97
2010-01-14,119,-9.4,-3.6,-17.7,66.9,1.0,,6.6,9.76
2010-01-15,119,-4.1,1.4,-7.5,70.5,1.6,0.6,6.5,8.81
2010-01-16,119,-7.3,-0.7,-14.5,68.5,0.9,,8.9,11.39
2010-01-17,119,-5.7,3.2,-13.4,71.8,0.6,,8.8,10.4
2010-01-18,119,-1.9,4.5,-9.4,78.4,0.6,,0.2,3.99
2010-01-19,119,2.8,9.2,-4.7,76.9,1.2,0.2,4.9,8.0
2010-01-20,119,6.1,8.8,3.3,98.9,0.8,9.0,0.0,1.42
2010-01-21,119,-2.9,3.8,-6.7,67.1,2.8,2.0,8.8,11.29
2010-01-22,119,-5.7,-1.7,-8.6,55.0,2.2,,8.8,11.28
2010-01-23,119,-4.6,-0.1,-8.9,58.4,1.5,,9.4,11.68
2010-01-24,119,0.2,5.0,-6.1,76.3,1.5,,5.3,8.63
2010-01-25,119,-2.2,3.1,-7.5,59.0,2.7,,8.6,11.85
2010-01-26,119,-4.4,2.0,-10.3,62.6,1.3,,9.5,12.21
2010-01-27,119,0.6,5.5,-5.8,78.4,1.4,3.0,3.8,6.37
2010-01-28,119,0.4,3.9,-4.3,71.8,2.6,,6.8,10.5
2010-01-29,119,-2.0,1.9,-7.7,66.8,2.0,0.0,3.7,7.91
2010-01-30,119,-0.1,5.8,-4.8,81.3,0.9,,1.7,5.62
2010-01-31,119,0.5,6.0,-3.7,90.3,0.6,0.0,1.2,5.08
2010-02-01,119,0.9,5.2,-2.3,78.3,1.4,,4.1,8.2
2010-02-02,119,-4.9,-1.8,-7.5,33.8,3.2,,9.7,13.29
2010-02-03,119,-7.4,-4.0,-10.6,45.3,2.2,,9.9,13.86
2010-02-04,119,-4.1,0.2,-10.1,68.3,1.6,0.0,8.7,13.84
2010-02-05,119,-4.6,-1.5,-7.0,42.4,2.1,,9.9,13.53
2010-02-06,119,-5.0,1.3,-11.5,53.5,1.3,,9.9,14.09
2010-02-07,119,0.4,8.1,-9.5,47.5,1.0,,6.4,11.14
2010-02-08,119,4.3,7.6,2.2,61.3,0.8,0.1,0.0,2.14
2010-02-09,119,4.0,5.1,2.5,99.0,0.7,18.0,0.0,0.83
2010-02-10,119,4.0,4.9,3.0,94.6,1.3,6.5,0.0,0.95
2010-02-11,119,1.4,4.1,0.2,89.5,2.4,10.6,0.0,2.81
2010-02-12,119,0.2,2.7,-1.4,86.5,1.7,0.1,0.0,5.06
2010-02-13,119,-2.1,0.1,-4.4,76.1,2.1,0.6,6.1,12.12
2010-02-14,119,-1.5,1.7,-4.8,58.9,0.9,,0.0,7.94
2010-02-15,119,-2.2,1.2,-5.0,53.8,2.2,,4.2,9.95
2010-02-16,119,-3.9,0.5,-7.3,50.5,1.8,,10.0,15.99
2010-02-17,119,-2.7,0.7,-7.7,60.3,1.1,0.5,0.4,7.83
2010-02-18,119,-2.3,-0.1,-5.1,63.9,2.8,1.1,9.1,15.27
2010-02-19,119,-1.2,3.2,-5.5,64.6,1.6,,9.6,15.6
2010-02-20,119,1.6,9.2,-4.5,77.0,0.8,,9.0,13.5
2010-02-21,119,3.3,10.6,-3.7,72.9,1.1,,9.5,13.9
2010-02-22,119,4.6,11.2,-0.5,85.3,0.9,0.0,4.7,8.88
2010-02-23,119,6.5,16.5,-2.6,66.5,1.4,,9.7,15.83
2010-02-24,119,11.1,18.1,0.4,64.4,1.4,,6.6,12.98
2010-02-25,119,12.4,14.5,9.5,94.6,1.3,18.5,0.0,0.72
2010-02-26,119,12.2,19.1,8.5,79.0,1.3,0.5,5.8,11.06
2010-02-27,119,8.0,11.8,5.1,79.9,2.6,0.2,5.5,10.18
2010-02-28,119,7.3,11.6,4.2,79.5,1.5,,2.4,8.54
2010-03-01,119,3.9,7.3,2.4,85.6,3.6,16.5,0.0,2.45
2010-03-02,119,3.0,5.3,0.9,83.6,2.0,0.1,0.0,3.42
2010-03-03,119,5.3,11.6,-2.0,61.5,2.2,,8.5,16.39
2010-03-04,119,5.9,7.4,5.2,78.9,2.8,1.0,0.0,3.23
2010-03-05,119,6.6,9.7,4.6,83.4,1.5,1.0,0.9,7.08
2010-03-06,119,6.5,11.4,3.0,67.0,1.9,0.0,3.5,10.92
2010-03-07,119,5.7,9.0,3.2,56.3,2.9,,2.8,9.67
2010-03-08,119,4.6,9.0,1.1,55.4,3.5,,5.5,13.03
2010-03-09,119,1.9,6.0,-2.8,80.1,2.3,10.3,0.3,6.81
2010-03-10,119,-1.1,1.4,-3.6,86.4,2.1,2.9,2.1,7.94
2010-03-11,119,2.4,7.4,-3.4,73.4,1.9,,8.2,17.77
2010-03-12,119,6.3,11.7,2.5,72.9,3.6,,2.4,6.15
2010-03-13,119,3.4,9.1,-1.0,39.0,1.9,,9.6,17.9
2010-03-14,119,7.9,13.9,-0.2,59.8,2.4,1.5,2.5,8.12
2010-03-15,119,8.0,11.3,3.5,85.4,3.0,14.5,0.9,3.8
2010-03-16,119,1.8,4.4,0.0,49.6,3.9,,9.8,18.77
2010-03-17,119,0.1,5.2,-2.8,71.6,1.1,4.1,4.6,10.76
2010-03-18,119,0.4,4.4,-2.6,68.0,2.1,0.3,11.4,21.62
2010-03-19,119,4.4,10.0,-3.3,62.4,1.7,,7.7,15.54
2010-03-20,119,7.1,13.4,2.7,80.6,3.0,0.5,0.0,2.29
2010-03-21,119,3.0,6.8,-0.8,55.0,3.5,,10.8,20.97
2010-03-22,119,1.5,5.0,-0.2,87.3,0.9,11.5,0.0,1.83
2010-03-23,119,5.3,11.0,0.7,84.5,1.0,,4.8,14.71
2010-03-24,119,8.3,14.7,1.6,66.1,1.6,,7.9,15.67
2010-03-25,119,5.7,10.1,0.9,53.8,2.8,0.5,0.3,6.93
2010-03-26,119,3.0,6.8,-1.9,50.3,3.1,,9.0,19.24
2010-03-27,119,5.1,8.0,2.1,85.3,2.3,,0.0,3.33
2010-03-28,119,4.4,8.4,0.3,55.1,2.3,,11.6,22.56
2010-03-29,119,5.4,11.2,-1.6,50.4,1.9,,11.4,21.08
2010-03-30,119,8.2,14.7,0.8,63.4,1.3,,4.2,15.2
2010-03-31,119,8.5,9.7,6.9,91.5,2.0,14.0,0.0,2.02
2010-04-01,119,7.6,9.4,3.5,86.1,1.6,2.5,0.0,1.72
2010-04-02,119,5.9,11.6,-0.4,57.9,2.7,,10.9,22.7
2010-04-03,119,5.2,9.8,-0.2,48.6,2.2,,11.6,23.46
2010-04-04,119,7.4,16.1,-0.6,56.4,1.7,,10.1,20.96
2010-04-05,119,10.3,15.8,2.2,69.9,1.2,,6.7,16.64
2010-04-06,119,8.3,12.4,4.8,69.0,2.7,0.1,5.6,13.2
2010-04-07,119,7.0,12.6,1.8,50.6,2.0,,12.1,23.73
2010-04-08,119,8.7,16.7,0.7,57.1,1.5,,11.4,22.21
2010-04-09,119,11.3,17.9,4.0,58.9,1.0,,10.8,22.14
2010-04-10,119,10.4,13.6,8.2,73.9,1.2,,0.0,3.68
2010-04-11,119,13.9,20.0,5.3,59.9,2.4,0.0,3.7,13.6
2010-04-12,119,14.1,19.6,9.3,61.3,2.8,6.0,2.0,11.82
2010-04-13,119,5.1,9.5,3.1,61.1,5.3,1.0,7.3,19.78
2010-04-14,119,4.8,7.7,1.6,36.9,3.0,,4.5,13.63
2010-04-15,119,6.3,13.0,-0.8,47.4,1.8,,10.9,23.73
2010-04-16,119,7.2,13.8,2.5,58.3,1.8,,10.7,21.9
2010-04-17,119,7.3,13.2,1.1,73.0,1.4,,6.7,16.64
2010-04-18,119,12.1,18.0,4.4,63.8,2.0,0.0,0.1,12.06
2010-04-19,119,16.0,20.4,12.5,58.6,1.6,0.0,0.0,7.04
2010-04-20,119,15.6,21.8,10.5,77.9,1.5,,4.4,16.84
2010-04-21,119,14.7,20.4,9.9,74.6,2.5,4.5,1.2,9.87
2010-04-22,119,11.2,13.2,9.0,76.0,2.2,3.0,0.0,6.82
2010-04-23,119,10.4,14.8,7.8,76.5,2.2,5.5,5.3,16.27
2010-04-24,119,10.8,17.5,4.3,58.3,1.8,,12.2,25.44
2010-04-25,119,13.0,20.0,4.3,49.6,1.2,,10.6,23.63
2010-04-26,119,12.5,18.2,9.5,73.8,2.2,20.5,0.2,6.85
2010-04-27,119,8.1,11.4,4.6,80.5,3.8,3.5,1.4,7.27
2010-04-28,119,5.3,7.6,3.3,86.0,3.3,9.0,0.0,2.81
2010-04-29,119,8.9,12.8,4.5,70.9,3.2,3.0,10.4,23.3
2010-04-30,119,9.6,14.5,6.0,74.8,2.5,,11.3,26.62
2010-05-01,119,11.9,19.0,4.1,64.3,1.9,,11.7,24.61
2010-05-02,119,16.7,24.4,6.8,60.3,1.5,,12.0,24.6
2010-05-03,119,19.1,21.6,14.2,82.6,2.3,,0.0,6.88
2010-05-04,119,20.4,26.6,16.2,79.0,1.8,,2.9,12.35
2010-05-05,119,20.9,26.3,13.3,64.4,1.9,0.0,3.9,17.37
2010-05-06,119,14.0,21.3,9.0,89.3,3.1,9.5,1.0,6.81
2010-05-07,119,14.6,21.5,7.6,62.9,2.0,,12.2,26.97
2010-05-08,119,16.1,22.8,9.9,64.4,1.5,,11.5,25.47
2010-05-09,119,18.9,26.4,11.4,55.9,1.2,,6.5,21.71
2010-05-10,119,15.5,20.7,11.5,66.5,2.5,0.0,10.3,24.33
2010-05-11,119,13.0,18.8,8.6,71.9,2.0,0.0,5.6,15.42
2010-05-12,119,13.6,19.6,8.0,73.6,2.0,,12.4,26.84
2010-05-13,119,15.2,21.6,8.7,67.4,1.4,,10.6,21.96
2010-05-14,119,17.0,24.7,9.5,61.1,1.6,,12.2,27.12
2010-05-15,119,16.0,21.3,11.2,64.3,1.4,,3.9,15.87
2010-05-16,119,17.0,23.9,10.0,62.9,1.5,,9.9,23.75
2010-05-17,119,19.6,27.3,11.4,61.4,1.7,3.5,7.7,22.92
2010-05-18,119,18.1,19.6,15.8,98.8,2.4,51.5,0.0,1.82
2010-05-19,119,17.7,21.4,14.4,88.0,1.6,0.2,3.4,16.12
2010-05-20,119,19.8,27.3,14.0,76.6,1.8,,11.8,26.03
2010-05-21,119,21.5,29.8,14.3,68.5,1.4,,9.8,25.2
2010-05-22,119,19.9,25.9,15.8,74.8,1.6,7.5,0.0,6.9
2010-05-23,119,16.8,18.9,15.3,87.5,3.5,17.0,0.0,3.28
2010-05-24,119,14.0,15.7,13.3,98.1,2.5,10.0,0.0,4.56
2010-05-25,119,15.5,19.9,12.7,90.1,1.3,1.5,0.8,9.61
2010-05-26,119,18.0,22.5,14.7,67.6,2.6,0.0,8.3,21.69
2010-05-27,119,17.6,23.9,11.5,60.5,2.2,,12.2,26.08
2010-05-28,119,16.1,19.8,12.8,83.5,1.3,,0.2,12.17
2010-05-29,119,18.5,24.8,14.4,76.8,1.3,,8.0,22.96
2010-05-30,119,19.1,24.8,13.8,70.8,1.7,,7.3,21.75
2010-05-31,119,18.7,22.3,16.2,62.3,1.5,0.0,1.1,14.32
2010-06-01,119,18.7,26.4,12.5,54.4,1.8,,13.8,29.67
2010-06-02,119,20.0,27.0,12.7,63.9,1.4,,13.1,28.0
2010-06-03,119,20.6,26.7,14.6,67.5,1.8,,12.7,26.73
2010-06-04,119,21.1,27.9,14.7,67.6,1.7,,13.3,27.28
2010-06-05,119,21.6,28.1,15.2,65.6,1.5,,11.1,24.76
2010-06-06,119,24.3,30.9,16.3,59.8,1.3,,9.7,24.24
2010-06-07,119,25.3,32.2,19.0,57.3,1.7,,9.4,25.46
2010-06-08,119,25.0,31.5,17.5,48.6,1.8,,13.4,28.72
2010-06-09,119,25.2,30.6,18.4,53.3,1.4,,12.9,27.38
2010-06-10,119,25.1,32.7,19.5,57.3,1.5,,8.9,20.7
2010-06-11,119,24.9,31.1,18.8,58.1,2.0,0.2,6.5,21.83
2010-06-12,119,19.0,20.8,18.2,94.6,2.1,40.0,0.0,6.0
2010-06-13,119,22.3,27.5,18.5,87.6,1.5,12.5,2.2,15.11
2010-06-14,119,21.7,26.0,19.6,92.4,1.1,18.5,1.3,9.05
2010-06-15,119,23.6,29.3,20.0,82.3,1.7,0.0,10.1,23.99
2010-06-16,119,22.3,25.8,19.8,85.8,1.5,1.5,1.7,11.41
2010-06-17,119,24.3,29.7,20.3,79.3,1.0,,1.1,14.72
2010-06-18,119,26.8,31.8,23.5,74.0,1.7,0.0,2.2,14.69
2010-06-19,119,23.6,26.3,21.6,84.8,1.7,9.0,1.2,12.97
2010-06-20,119,22.5,26.7,19.5,87.5,1.9,10.5,7.4,21.08
2010-06-21,119,21.4,27.7,17.5,83.4,1.4,0.0,7.7,20.64
2010-06-22,119,21.7,26.0,16.6,63.8,1.5,0.0,6.4,16.89
2010-06-23,119,23.1,29.2,16.9,63.9,1.3,,13.0,27.38
2010-06-24,119,23.7,30.5,17.2,67.1,1.3,,12.5,26.17
2010-06-25,119,26.7,33.3,18.4,60.9,2.0,,9.4,23.25
2010-06-26,119,25.5,28.3,24.2,70.3,2.5,0.4,0.2,9.14
2010-06-27,119,22.7,25.7,20.3,92.1,1.7,11.0,3.1,8.35
2010-06-28,119,24.3,30.1,20.2,80.1,1.5,,10.3,23.64
2010-06-29,119,23.6,27.3,20.1,84.8,1.1,0.0,0.8,11.63
2010-06-30,119,23.2,25.5,21.2,90.0,0.9,12.5,0.2,6.58
2010-07-01,119,25.9,29.2,22.5,86.1,1.4,,1.1,15.7
2010-07-02,119,25.6,27.0,24.8,95.3,1.7,18.5,0.0,2.82
2010-07-03,119,24.1,25.8,22.8,96.5,0.8,5.5,0.0,4.71
2010-07-04,119,25.5,29.4,23.8,88.1,1.7,0.0,0.5,11.05
2010-07-05,119,25.4,30.7,22.5,87.1,1.9,,7.4,22.03
2010-07-06,119,26.3,31.7,22.1,74.3,1.9,0.0,9.6,25.9
2010-07-07,119,24.9,29.2,21.8,76.9,2.0,0.0,9.8,25.24
2010-07-08,119,24.4,29.2,20.9,75.6,1.3,2.0,3.4,16.95
2010-07-09,119,25.3,30.5,21.1,71.9,1.5,,8.1,23.0
2010-07-10,119,26.4,30.8,21.7,71.5,1.5,0.0,3.2,15.87
2010-07-11,119,24.5,27.1,22.7,74.8,2.5,1.5,1.9,10.15
2010-07-12,119,25.6,29.8,21.3,71.5,1.6,,6.9,18.42
2010-07-13,119,26.4,31.7,22.4,74.3,1.8,1.0,8.8,22.91
2010-07-14,119,25.7,29.5,22.3,79.8,1.6,,6.0,18.51
2010-07-15,119,25.9,30.6,22.0,78.4,1.5,,8.5,22.27
2010-07-16,119,24.9,28.2,23.7,91.0,2.2,70.0,1.0,4.61
2010-07-17,119,24.2,25.0,23.4,98.1,2.0,54.0,0.0,1.86
2010-07-18,119,26.9,31.1,24.0,83.9,2.3,1.0,1.5,14.61
2010-07-19,119,27.7,31.8,24.7,78.6,2.5,,7.1,21.01
2010-07-20,119,29.2,33.4,24.6,73.6,2.2,,8.8,23.36
2010-07-21,119,28.3,31.3,26.1,75.8,3.0,0.0,1.4,10.64
2010-07-22,119,27.4,30.9,25.3,83.5,2.4,0.1,2.2,14.07
2010-07-23,119,23.8,26.1,21.2,95.3,1.8,52.0,0.0,2.1
2010-07-24,119,25.8,30.1,22.6,88.0,1.3,1.0,2.7,14.41
2010-07-25,119,25.9,29.9,23.9,86.0,1.7,0.0,6.6,17.95
2010-07-26,119,26.2,29.8,23.8,86.1,1.9,0.2,6.2,18.98
2010-07-27,119,27.2,31.7,23.9,80.3,1.7,,9.1,22.82
2010-07-28,119,27.0,30.5,23.9,79.3,2.4,,2.8,13.21
2010-07-29,119,27.0,30.7,25.1,82.8,1.6,0.0,3.9,16.74
2010-07-30,119,26.7,29.9,24.9,83.6,1.4,,0.2,10.11
2010-07-31,119,26.8,30.7,24.1,88.0,1.6,,0.5,9.05
2010-08-01,119,28.1,32.1,25.8,84.9,1.8,0.1,2.7,14.2
2010-08-02,119,26.7,30.8,23.5,86.3,1.5,1.0,4.9,12.1
2010-08-03,119,27.0,31.8,22.5,69.9,0.9,,4.3,16.15
2010-08-04,119,27.5,33.0,23.6,86.6,0.9,17.5,3.2,14.16
2010-08-05,119,29.0,34.2,25.5,84.9,1.9,18.5,7.1,20.41
2010-08-06,119,27.8,32.0,26.2,91.3,1.5,14.5,4.8,14.4
2010-08-07,119,27.0,30.0,25.1,91.8,1.2,4.0,0.9,9.87
2010-08-08,119,27.7,32.9,23.9,78.1,1.5,,9.9,21.95
2010-08-09,119,29.0,33.9,24.3,72.0,1.5,,11.4,24.33
2010-08-10,119,27.2,31.3,24.5,87.3,2.0,18.0,0.8,9.44
2010-08-11,119,28.5,33.2,25.8,80.1,2.4,0.2,3.1,14.93
2010-08-12,119,24.4,27.3,22.6,90.6,1.7,4.5,0.0,3.56
2010-08-13,119,26.6,29.1,22.6,96.4,1.9,12.5,0.0,5.35
2010-08-14,119,27.1,29.5,24.0,93.5,1.8,27.0,0.8,6.62
2010-08-15,119,27.1,30.8,24.5,89.1,2.4,31.0,3.7,14.23
2010-08-16,119,25.1,27.1,22.6,88.1,1.0,1.5,0.2,6.95
2010-08-17,119,26.5,32.5,21.4,75.0,0.9,0.0,11.7,23.84
2010-08-18,119,25.9,31.8,22.7,92.0,1.6,54.0,4.2,16.38
2010-08-19,119,29.1,34.1,24.9,79.5,1.6,,9.4,21.74
2010-08-20,119,28.5,33.5,24.7,83.0,1.4,2.5,9.4,23.02
2010-08-21,119,28.5,32.9,24.4,80.0,1.2,,9.8,20.82
2010-08-22,119,28.8,33.3,25.0,81.4,1.8,0.0,9.2,21.0
2010-08-23,119,26.1,27.8,24.8,95.0,1.5,27.5,0.2,5.68
2010-08-24,119,24.1,25.2,21.9,94.0,1.0,17.0,0.0,4.44
2010-08-25,119,23.1,24.3,21.6,94.3,1.7,5.5,0.0,4.49
2010-08-26,119,25.8,29.3,22.8,90.1,2.3,1.5,0.0,7.56
2010-08-27,119,28.1,32.4,24.1,79.3,2.1,0.0,6.7,17.35
2010-08-28,119,26.9,29.5,25.4,84.5,2.9,4.0,0.3,5.89
