tm,stn,ta_avg,ta_max,ta_min,hm_avg,ws_avg,rn_day,ss_day,si_day
2010-01-01,155,-2.1,2.9,-8.0,44.3,1.5,,8.9,
2010-01-02,155,3.5,10.3,-2.7,55.0,1.1,,1.4,
2010-01-03,155,1.2,5.0,-2.0,37.3,1.7,,8.8,
2010-01-04,155,2.7,9.2,-0.4,46.5,2.1,1.0,2.2,
2010-01-05,155,-0.7,3.1,-3.7,40.5,2.3,,8.1,
2010-01-06,155,-3.4,1.3,-6.5,44.6,2.6,,8.9,
2010-01-07,155,-2.7,2.9,-6.3,47.0,3.4,,9.0,
2010-01-08,155,-0.7,4.0,-5.2,46.6,3.3,,8.9,
2010-01-09,155,1.5,5.9,-2.6,37.4,1.9,,4.5,
2010-01-10,155,2.7,5.4,1.0,47.6,2.0,,0.0,
2010-01-11,155,1.7,4.7,-0.7,49.0,3.1,,6.3,
2010-01-12,155,-1.1,2.2,-4.2,35.5,2.6,,5.2,
2010-01-13,155,-3.9,0.3,-7.1,40.3,2.4,,8.8,
2010-01-14,155,-2.4,2.1,-7.9,46.4,1.6,,9.0,
2010-01-15,155,2.0,8.1,-3.1,48.3,1.6,,7.1,
2010-01-16,155,1.2,7.1,-2.9,30.6,2.2,,9.1,
2010-01-17,155,2.2,7.6,-2.5,21.6,1.4,,9.1,
2010-01-18,155,3.6,11.2,-2.1,32.4,1.2,,8.5,
2010-01-19,155,7.3,13.2,-0.5,57.6,1.7,,6.3,
2010-01-20,155,13.2,16.0,9.7,86.3,1.9,37.5,0.0,
2010-01-21,155,8.0,13.3,0.5,53.8,2.1,,6.6,
2010-01-22,155,-0.2,4.0,-3.2,39.9,3.2,,9.0,
2010-01-23,155,0.1,6.4,-3.8,42.9,2.4,,8.7,
2010-01-24,155,2.5,8.6,-2.6,45.5,2.1,,9.2,
2010-01-25,155,4.3,9.5,0.1,40.8,1.7,,8.6,
2010-01-26,155,1.0,6.3,-3.3,32.4,2.4,,9.5,
2010-01-27,155,4.0,8.5,-2.4,63.6,0.9,22.5,3.7,
2010-01-28,155,6.8,10.6,3.3,59.9,1.9,0.0,9.1,
2010-01-29,155,4.3,8.8,1.0,31.5,2.0,,9.5,
2010-01-30,155,4.5,8.8,-1.2,47.1,1.3,,5.7,
2010-01-31,155,6.9,12.0,4.2,48.4,1.1,,3.9,
2010-02-01,155,5.5,9.2,3.3,57.5,1.6,0.0,1.2,
2010-02-02,155,1.6,5.9,-1.2,32.8,2.2,,7.4,
2010-02-03,155,-1.8,3.0,-5.0,25.5,2.7,,9.7,
