tm,stn,ta_avg,ta_max,ta_min,hm_avg,ws_avg,rn_day,ss_day,si_day
2010-01-01,112,-5.8,-1.8,-11.0,48.6,2.2,,7.6,8.51
2010-01-02,112,-2.0,1.0,-5.4,72.3,4.2,0.1,1.2,3.81
2010-01-03,112,-5.8,-3.2,-8.7,54.4,2.7,0.0,7.6,9.72
2010-01-04,112,-4.8,-2.7,-6.5,84.3,4.5,14.4,1.1,3.82
2010-01-05,112,-8.1,-5.5,-10.6,66.1,4.3,0.0,7.3,9.82
2010-01-06,112,-9.1,-6.8,-11.2,64.1,2.8,0.0,7.2,9.71
2010-01-07,112,-9.1,-5.2,-12.2,63.1,1.9,0.0,8.8,9.65
2010-01-08,112,-6.7,-2.6,-10.5,64.9,1.7,,7.4,9.48
2010-01-09,112,-3.7,-0.9,-6.5,76.5,1.3,0.4,0.0,3.8
2010-01-10,112,-3.5,-0.7,-6.4,88.8,1.5,,0.5,4.89
2010-01-11,112,-4.5,-1.0,-6.4,81.5,2.6,,0.1,4.79
2010-01-12,112,-8.8,-6.1,-11.6,55.1,3.2,,7.3,10.31
2010-01-13,112,-11.2,-8.8,-12.8,54.8,4.5,,8.9,11.15
2010-01-14,112,-7.3,-3.0,-12.3,53.6,1.6,,7.2,9.55
2010-01-15,112,-4.0,0.0,-6.7,68.5,2.8,0.3,6.2,8.72
2010-01-16,112,-5.4,-1.1,-9.1,55.4,1.8,,8.7,10.86
2010-01-17,112,-2.9,2.0,-7.9,62.0,1.5,,7.0,9.22
2010-01-18,112,1.2,4.7,-2.7,70.1,1.9,,0.7,3.88
2010-01-19,112,4.6,8.5,0.6,71.6,2.4,3.0,4.0,7.11
2010-01-20,112,6.9,9.3,2.8,97.3,2.5,7.0,0.0,1.17
2010-01-21,112,-3.6,2.8,-6.7,60.0,6.4,0.5,8.8,11.72
2010-01-22,112,-5.4,-2.3,-7.6,49.0,4.4,,8.3,11.28
2010-01-23,112,-3.9,0.4,-8.3,49.5,2.1,,9.4,12.05
2010-01-24,112,1.8,5.2,-2.4,70.0,3.4,0.0,6.0,9.34
2010-01-25,112,-2.1,4.9,-6.8,50.0,6.1,,8.9,12.24
2010-01-26,112,-2.7,2.5,-8.3,54.0,2.4,,8.9,11.65
2010-01-27,112,1.4,4.6,-2.1,70.6,2.2,3.5,3.4,6.08
2010-01-28,112,-0.2,2.6,-4.5,72.0,4.6,,7.7,11.5
2010-01-29,112,-0.5,3.1,-5.9,57.9,4.1,0.0,5.0,9.64
2010-01-30,112,2.2,5.2,-0.5,73.1,2.8,,1.0,5.76
2010-01-31,112,2.4,5.7,0.0,84.1,1.8,,0.5,5.02
2010-02-01,112,0.3,5.1,-2.2,76.8,4.2,,4.7,8.59
2010-02-02,112,-4.9,-1.9,-7.0,30.8,6.1,,9.5,12.94
2010-02-03,112,-6.6,-4.2,-8.5,41.6,4.4,,9.8,13.55
2010-02-04,112,-2.8,1.0,-7.5,51.1,2.9,0.1,9.2,13.1
2010-02-05,112,-4.3,-1.3,-6.2,39.6,3.9,,9.6,13.44
2010-02-06,112,-4.0,1.2,-9.3,43.5,2.4,,9.9,13.88
2010-02-07,112,1.4,6.2,-5.3,39.9,1.7,,5.2,9.52
2010-02-08,112,4.2,7.0,3.0,60.8,1.8,0.0,0.0,1.57
2010-02-09,112,3.2,4.3,2.0,92.4,2.4,8.0,0.0,1.16
2010-02-10,112,4.1,5.6,2.7,79.8,2.8,0.4,0.0,1.71
