tm,stn,ta_avg,ta_max,ta_min,hm_avg,ws_avg,rn_day,ss_day,si_day
2010-01-01,189,5.0,9.4,0.4,51.3,2.2,,8.2,
2010-01-02,189,10.8,15.8,6.5,59.0,3.0,,6.5,
2010-01-03,189,7.7,10.1,5.7,55.9,2.8,,8.7,
2010-01-04,189,8.5,14.0,4.3,59.3,5.1,0.5,1.4,
2010-01-05,189,2.6,5.7,1.5,51.8,4.2,0.0,4.9,
2010-01-06,189,3.2,6.5,1.0,53.8,3.6,,6.0,
2010-01-07,189,4.2,7.8,1.7,57.6,3.1,,7.0,
2010-01-08,189,4.9,9.0,2.4,59.9,2.1,,3.4,
2010-01-09,189,7.4,11.4,2.9,61.9,2.3,,3.8,
2010-01-10,189,8.5,12.4,6.1,62.9,2.0,0.1,1.4,
2010-01-11,189,8.1,9.8,6.4,68.5,1.8,0.1,0.5,
2010-01-12,189,4.1,7.8,-0.2,58.6,2.7,2.5,5.8,
2010-01-13,189,-0.5,1.9,-2.7,74.6,3.4,6.4,3.4,
2010-01-14,189,3.6,6.8,-0.2,59.8,2.6,0.0,4.5,
2010-01-15,189,8.1,12.4,5.1,54.8,2.5,,7.7,
2010-01-16,189,7.5,10.9,4.7,62.6,2.3,,5.2,
2010-01-17,189,8.3,12.0,4.6,63.5,2.3,,8.5,
2010-01-18,189,9.5,12.7,6.5,61.6,2.2,,7.9,
2010-01-19,189,13.1,18.2,7.1,69.5,2.2,,2.5,
2010-01-20,189,16.1,17.2,14.6,87.1,3.4,6.0,0.0,
2010-01-21,189,11.2,16.5,7.7,64.4,3.8,,3.3,
2010-01-22,189,6.5,9.9,3.3,63.8,3.1,,5.5,
2010-01-23,189,4.5,9.0,2.3,55.8,3.6,,7.9,
2010-01-24,189,6.7,11.2,1.9,59.5,2.6,,7.2,
2010-01-25,189,7.1,13.4,2.4,51.5,2.9,1.0,7.5,
2010-01-26,189,6.6,11.1,2.1,60.9,2.5,,9.2,
2010-01-27,189,11.2,14.1,6.2,75.6,3.6,36.5,0.2,
2010-01-28,189,10.3,13.4,7.3,60.8,2.8,,8.4,
2010-01-29,189,8.4,13.6,4.9,50.4,2.1,,8.2,
2010-01-30,189,8.1,11.3,4.8,76.6,2.2,8.5,0.6,
2010-01-31,189,11.0,11.9,9.8,73.0,2.5,2.5,0.0,
2010-02-01,189,8.6,11.6,5.9,68.9,2.2,11.5,1.7,
2010-02-02,189,6.8,9.6,3.0,46.6,2.4,,7.0,
2010-02-03,189,4.7,7.3,2.3,57.8,2.3,,6.0,
2010-02-04,189,4.9,7.7,2.8,52.8,2.3,,5.5,
2010-02-05,189,6.0,9.0,2.3,61.3,2.1,,4.3,
2010-02-06,189,6.9,11.9,4.2,46.5,2.3,,6.3,
2010-02-07,189,8.5,11.9,5.2,71.8,2.9,2.5,0.0,
2010-02-08,189,14.3,17.2,11.2,87.9,2.4,1.5,0.1,
2010-02-09,189,15.4,19.0,10.6,88.5,1.6,1.0,0.3,
2010-02-10,189,14.1,17.7,11.8,89.6,2.3,2.5,0.3,
2010-02-11,189,10.4,13.2,6.0,85.0,4.4,28.0,0.0,
2010-02-12,189,7.8,10.0,6.6,76.0,2.3,2.0,0.5,
2010-02-13,189,5.9,7.6,3.0,63.4,2.1,,5.6,
2010-02-14,189,6.0,7.8,4.5,67.4,2.2,1.0,0.0,
2010-02-15,189,8.5,12.5,5.2,66.4,2.6,,4.9,
