tm,stn,ta_avg,ta_max,ta_min,hm_avg,ws_avg,rn_day,ss_day,si_day
2010-01-01,138,-1.7,3.1,-6.3,37.9,2.7,,8.9,11.3
2010-01-02,138,3.2,9.3,-1.6,55.1,2.1,0.0,5.4,8.09
2010-01-03,138,0.3,4.2,-3.0,35.0,2.0,,9.1,11.9
2010-01-04,138,1.1,3.5,-0.5,56.0,2.1,1.5,1.4,3.26
2010-01-05,138,-2.0,0.6,-5.0,43.9,3.7,,8.8,11.48
2010-01-06,138,-4.0,0.6,-6.8,43.1,3.1,,9.1,12.23
2010-01-07,138,-2.8,2.2,-6.7,45.3,3.4,,9.0,11.99
2010-01-08,138,-1.1,4.6,-5.7,46.6,3.3,,8.8,11.63
2010-01-09,138,0.9,5.1,-2.4,47.6,2.4,,4.4,7.84
2010-01-10,138,1.8,4.5,-0.9,56.1,2.1,,0.8,7.12
2010-01-11,138,1.4,5.3,-1.3,51.8,2.6,,4.0,8.12
2010-01-12,138,-2.1,0.6,-4.4,39.0,2.6,,5.1,9.17
2010-01-13,138,-5.2,-2.1,-7.3,35.6,2.8,,9.4,12.76
2010-01-14,138,-3.1,2.3,-7.4,46.8,2.5,,8.4,11.54
2010-01-15,138,0.3,6.2,-4.4,54.4,1.7,,8.4,11.19
2010-01-16,138,0.8,6.5,-3.7,37.1,2.8,,9.4,13.09
2010-01-17,138,1.9,8.0,-2.4,24.3,2.2,,9.2,12.11
2010-01-18,138,4.7,10.8,-0.9,41.5,2.2,,7.2,10.66
2010-01-19,138,7.0,13.9,0.8,53.6,2.0,,7.0,10.45
2010-01-20,138,12.6,15.5,9.3,88.9,1.2,4.0,0.2,2.93
2010-01-21,138,6.1,12.7,-0.3,62.6,2.4,8.0,5.7,9.19
2010-01-22,138,-0.6,3.2,-3.4,40.5,2.9,,9.3,12.96
2010-01-23,138,0.0,5.1,-4.0,42.6,2.8,,9.6,13.75
2010-01-24,138,2.8,7.8,-1.9,46.8,2.7,,9.1,13.2
2010-01-25,138,4.1,8.5,-0.7,36.6,2.8,,8.5,12.31
2010-01-26,138,1.1,6.8,-3.8,32.1,3.0,,9.8,14.58
2010-01-27,138,5.5,11.6,-1.0,58.5,2.1,2.5,5.7,9.95
2010-01-28,138,7.3,11.2,3.9,48.9,2.6,,8.0,12.86
