tm,stn,ta_avg,ta_max,ta_min,hm_avg,ws_avg,rn_day,ss_day,si_day
2010-01-01,137,-5.5,0.0,-9.9,43.8,2.2,,8.3,
2010-01-02,137,-2.6,1.4,-6.3,70.0,1.4,0.5,1.7,
2010-01-03,137,-3.3,0.5,-6.8,44.6,2.3,,8.1,
2010-01-04,137,-3.5,-0.4,-5.4,68.5,2.4,5.4,0.2,
2010-01-05,137,-5.9,-3.2,-8.4,52.5,3.7,,4.6,
2010-01-06,137,-7.5,-3.4,-10.8,57.9,2.9,,8.1,
2010-01-07,137,-6.7,-2.4,-8.7,54.3,2.9,,7.9,
2010-01-08,137,-5.2,0.7,-10.0,55.8,2.5,,8.4,
2010-01-09,137,-2.6,1.1,-7.5,60.0,2.3,,2.0,
2010-01-10,137,-2.1,2.2,-7.9,66.4,1.8,,2.4,
2010-01-11,137,-1.6,0.6,-4.0,57.4,3.5,,1.6,
2010-01-12,137,-5.6,-1.9,-7.2,39.6,3.9,,6.3,
2010-01-13,137,-9.5,-5.8,-12.3,45.1,4.1,,7.5,
2010-01-14,137,-7.1,-1.4,-12.2,53.9,2.3,0.0,6.4,
2010-01-15,137,-4.3,3.3,-10.6,66.1,1.6,0.0,5.5,
2010-01-16,137,-3.1,2.4,-8.3,37.4,2.6,,8.5,
2010-01-17,137,-2.4,3.5,-7.9,36.0,1.9,,8.5,
2010-01-18,137,-0.9,8.4,-9.1,63.3,1.2,,8.4,
2010-01-19,137,0.6,7.5,-6.8,69.4,0.7,,6.1,
2010-01-20,137,4.2,8.5,1.8,88.5,0.8,7.5,0.0,
2010-01-21,137,0.5,8.5,-5.1,56.4,4.3,1.0,7.1,
2010-01-22,137,-4.2,-0.2,-6.5,47.0,4.2,,8.3,
2010-01-23,137,-3.2,0.7,-6.9,50.9,3.5,,8.7,
2010-01-24,137,0.6,5.5,-4.1,53.0,2.3,,6.7,
2010-01-25,137,0.7,4.0,-4.9,40.5,3.9,,7.7,
2010-01-26,137,-2.9,3.6,-7.4,42.5,2.7,,8.7,
2010-01-27,137,-2.3,3.1,-8.7,72.0,0.8,2.5,4.1,
2010-01-28,137,3.4,6.1,-0.4,51.3,3.7,0.1,6.4,
2010-01-29,137,-0.3,4.7,-4.6,47.0,3.2,,5.7,
2010-01-30,137,1.4,8.3,-4.6,56.3,1.8,,5.2,
2010-01-31,137,1.2,9.8,-4.9,67.8,1.0,,6.4,
