tm,stn,ta_avg,ta_max,ta_min,hm_avg,ws_avg,rn_day,ss_day,si_day
2010-01-01,136,-5.5,0.9,-10.1,44.6,2.5,,8.8,10.51
2010-01-02,136,-2.8,2.0,-7.1,73.0,0.9,0.0,1.5,4.73
2010-01-03,136,-3.8,0.4,-7.4,43.8,1.9,,9.0,11.04
2010-01-04,136,-3.3,-1.2,-5.2,76.3,1.4,4.4,0.1,1.88
2010-01-05,136,-6.7,-3.3,-9.6,60.6,2.4,,8.6,10.61
2010-01-06,136,-9.0,-3.9,-14.3,59.5,2.3,,9.3,11.74
2010-01-07,136,-9.7,-2.1,-17.7,65.0,1.3,,8.8,11.84
2010-01-08,136,-8.7,0.4,-16.9,69.6,0.9,,9.0,11.8
2010-01-09,136,-5.2,0.0,-12.6,69.9,0.9,,1.9,5.64
2010-01-10,136,-3.6,1.8,-9.4,76.6,0.7,,4.2,7.23
2010-01-11,136,-3.8,0.6,-10.3,68.8,1.6,,2.4,5.86
2010-01-12,136,-6.5,-2.6,-11.5,49.3,2.9,,6.3,10.17
2010-01-13,136,-9.4,-5.2,-11.9,44.5,3.4,,9.5,12.15
2010-01-14,136,-7.4,-0.6,-13.5,56.0,1.7,,9.1,11.62
2010-01-15,136,-5.2,2.7,-13.0,70.4,1.2,0.0,7.2,10.37
2010-01-16,136,-5.0,3.3,-13.5,55.5,1.2,,9.2,12.73
2010-01-17,136,-4.8,3.9,-13.2,53.8,1.0,,9.0,11.63
2010-01-18,136,-2.3,7.9,-11.4,68.8,1.0,,8.4,10.91
2010-01-19,136,0.7,8.8,-7.2,73.1,0.7,,5.8,9.1
2010-01-20,136,4.1,5.4,2.3,90.5,0.4,5.5,0.0,1.26
2010-01-21,136,1.5,6.5,-5.1,67.9,3.1,2.5,6.7,10.86
2010-01-22,136,-4.3,-0.5,-6.9,49.4,3.4,,9.2,12.47
2010-01-23,136,-3.2,1.7,-7.0,50.5,2.9,,9.6,13.0
2010-01-24,136,-1.0,5.5,-9.4,61.1,1.9,,9.2,12.46
2010-01-25,136,1.2,5.6,-5.3,44.6,3.1,,8.8,11.63
2010-01-26,136,-3.0,4.2,-8.8,48.0,1.9,,9.7,13.85
2010-01-27,136,-1.2,7.2,-9.3,72.9,0.7,2.5,5.3,9.39
