tm,stn,ta_avg,ta_max,ta_min,hm_avg,ws_avg,rn_day,ss_day,si_day
2010-01-01,114,-8.1,-2.6,-14.8,53.5,0.8,,5.4,8.0
2010-01-02,114,-3.4,0.4,-5.8,81.4,0.8,2.5,0.0,1.27
2010-01-03,114,-6.4,-2.0,-11.6,60.0,0.9,,7.6,10.49
2010-01-04,114,-5.2,-2.6,-8.0,82.3,1.3,10.3,0.0,0.33
2010-01-05,114,-8.5,-4.8,-13.7,69.0,1.4,0.0,3.6,7.53
2010-01-06,114,-13.0,-6.4,-19.1,70.9,0.8,,7.7,10.88
2010-01-07,114,-12.9,-5.6,-19.4,72.1,0.6,,7.9,10.29
2010-01-08,114,-10.6,-2.2,-17.2,72.6,0.6,,7.8,10.52
2010-01-09,114,-8.0,-3.2,-14.0,77.6,0.5,0.1,0.1,4.69
2010-01-10,114,-4.4,0.8,-7.6,78.1,0.6,,6.0,8.59
2010-01-11,114,-5.2,-1.0,-9.3,75.6,0.8,,1.6,5.8
2010-01-12,114,-8.2,-4.0,-10.9,53.9,1.6,,7.0,10.61
2010-01-13,114,-11.8,-7.6,-14.9,46.5,1.8,,8.0,11.1
2010-01-14,114,-10.7,-3.6,-18.9,57.1,0.7,0.0,7.3,11.48
2010-01-15,114,-6.2,1.5,-11.1,68.4,0.8,0.3,5.6,9.18
2010-01-16,114,-7.9,-0.5,-13.7,65.1,0.6,,7.9,11.46
2010-01-17,114,-6.9,1.8,-13.5,64.3,0.6,,7.8,11.45
2010-01-18,114,-4.3,1.5,-10.4,72.6,0.4,,0.0,4.36
2010-01-19,114,-0.2,8.2,-8.0,73.3,0.5,0.1,5.1,9.1
2010-01-20,114,4.5,6.4,2.4,93.4,0.4,16.0,0.0,1.54
2010-01-21,114,-0.6,6.3,-5.9,70.0,2.0,8.5,3.1,6.65
2010-01-22,114,-5.6,-1.6,-8.3,49.1,2.0,,7.6,11.06
2010-01-23,114,-5.0,0.0,-10.0,51.6,1.2,,8.5,12.05
2010-01-24,114,-0.8,4.1,-7.2,62.3,1.1,0.0,3.9,8.47
2010-01-25,114,-0.1,3.7,-6.2,48.4,2.5,0.0,6.6,10.21
2010-01-26,114,-4.4,1.6,-10.1,52.3,1.0,,8.5,12.25
2010-01-27,114,-1.3,5.4,-7.7,74.4,0.8,2.5,3.7,7.4
2010-01-28,114,1.8,5.5,-2.7,63.6,2.1,0.5,3.6,7.29
2010-01-29,114,-1.7,1.0,-7.2,55.4,1.7,0.0,4.1,8.04
2010-01-30,114,0.3,5.9,-4.3,64.5,0.9,,2.5,7.46
2010-01-31,114,0.5,7.2,-4.2,79.4,0.6,,2.1,7.21
2010-02-01,114,1.1,6.4,-1.9,75.4,0.9,,1.0,6.98
2010-02-02,114,-3.6,0.2,-7.3,33.4,2.0,,8.5,13.14
2010-02-03,114,-7.1,-2.3,-11.2,34.8,1.8,,8.7,13.5
2010-02-04,114,-4.4,0.8,-10.2,51.5,1.5,0.0,8.0,13.18
2010-02-05,114,-3.6,1.1,-8.4,30.9,1.6,,8.8,13.61
2010-02-06,114,-4.9,2.8,-11.5,45.3,0.8,,8.9,14.61
2010-02-07,114,-0.8,7.5,-10.2,40.1,0.7,,6.5,11.89
2010-02-08,114,3.0,5.9,1.4,61.4,0.5,0.5,0.0,2.28
2010-02-09,114,3.7,4.9,2.5,93.1,0.6,16.5,0.0,1.04
2010-02-10,114,3.5,4.5,2.3,90.9,0.9,12.5,0.0,1.25
2010-02-11,114,1.9,4.3,0.3,73.8,1.9,6.2,0.0,4.1
2010-02-12,114,0.6,4.1,-1.1,75.6,1.2,2.1,2.2,8.18
2010-02-13,114,-1.5,1.6,-4.8,70.1,1.4,3.6,4.3,12.16
2010-02-14,114,-2.6,1.1,-6.1,68.4,0.8,,0.0,8.22
2010-02-15,114,-2.6,2.8,-6.7,60.5,1.0,,4.6,10.64
2010-02-16,114,-2.7,2.2,-5.7,53.0,1.2,0.0,7.6,13.73
2010-02-17,114,-3.1,0.9,-8.2,53.0,0.9,,2.8,9.87
2010-02-18,114,-2.2,1.5,-6.2,58.0,1.9,2.0,5.6,12.39
2010-02-19,114,-2.1,4.2,-7.1,58.1,1.3,0.1,6.5,12.21
2010-02-20,114,1.6,8.6,-4.2,55.3,0.8,,8.6,14.79
2010-02-21,114,3.0,10.6,-3.9,62.1,1.0,,8.7,14.71
2010-02-22,114,2.8,10.1,-1.0,78.9,0.5,0.0,2.1,5.33
2010-02-23,114,5.1,16.6,-2.6,59.6,0.7,,7.9,14.76
2010-02-24,114,10.0,20.0,-1.1,50.5,0.8,,7.5,14.51
