tm,stn,ta_avg,ta_max,ta_min,hm_avg,ws_avg,rn_day,ss_day,si_day
2010-01-01,232,-6.2,-0.8,-13.4,55.9,1.5,,7.6,
2010-01-02,232,-0.8,3.2,-4.0,74.3,3.4,0.0,0.0,
2010-01-03,232,-4.0,-1.2,-6.9,55.4,1.9,,7.3,
2010-01-04,232,-3.2,-0.2,-5.2,81.4,2.6,9.9,0.0,
2010-01-05,232,-6.7,-2.8,-9.4,77.3,2.5,3.7,1.7,
2010-01-06,232,-8.7,-4.4,-13.7,75.0,1.4,0.4,7.3,
2010-01-07,232,-9.5,-3.8,-16.1,71.6,1.3,0.1,6.7,
2010-01-08,232,-10.3,-1.2,-17.7,80.1,1.0,,7.8,
2010-01-09,232,-6.9,-2.1,-13.9,85.6,1.3,0.1,0.4,
2010-01-10,232,-5.3,0.9,-12.0,84.6,1.0,,1.0,
2010-01-11,232,-4.3,0.0,-11.5,79.8,1.4,,0.4,
2010-01-12,232,-7.2,-4.3,-11.5,57.8,2.5,0.0,7.0,
2010-01-13,232,-11.2,-7.3,-15.8,73.3,2.2,1.0,5.2,
2010-01-14,232,-10.0,-3.1,-19.5,70.0,1.3,,6.9,
2010-01-15,232,-4.7,1.2,-12.1,76.8,1.6,2.0,2.8,
2010-01-16,232,-9.7,-0.8,-17.8,72.8,0.9,,8.6,
2010-01-17,232,-7.3,3.2,-15.8,72.6,0.7,,8.8,
2010-01-18,232,-2.9,4.4,-11.9,76.6,1.2,,3.7,
2010-01-19,232,2.9,7.7,-6.1,69.0,2.5,0.0,4.9,
2010-01-20,232,6.5,9.1,3.9,93.3,2.2,18.5,0.0,
2010-01-21,232,-2.1,4.0,-4.6,69.5,4.9,2.0,7.2,
2010-01-22,232,-4.6,-0.9,-6.7,57.9,2.8,0.0,8.2,
2010-01-23,232,-4.2,0.0,-9.0,72.1,1.6,0.0,9.0,
2010-01-24,232,0.4,4.9,-5.1,71.8,1.8,,4.4,
2010-01-25,232,-0.8,3.8,-5.1,61.4,3.7,,7.5,
2010-01-26,232,-3.7,2.8,-10.1,59.0,1.8,,9.2,
2010-01-27,232,0.9,6.6,-5.9,74.3,2.4,3.0,3.1,
2010-01-28,232,1.7,5.9,-1.7,71.0,3.4,,7.2,
2010-01-29,232,-1.7,4.2,-6.4,69.3,2.1,0.0,2.5,
2010-01-30,232,0.6,7.4,-4.6,74.3,1.5,,3.6,
2010-01-31,232,1.7,8.5,-3.0,83.6,1.2,,5.1,
2010-02-01,232,1.2,2.8,-1.0,83.1,2.5,,0.0,
2010-02-02,232,-4.1,-0.9,-7.7,42.8,3.5,,7.7,
2010-02-03,232,-7.2,-3.8,-10.1,49.6,2.8,,9.4,
2010-02-04,232,-3.7,1.5,-10.1,61.9,1.7,0.2,8.4,
2010-02-05,232,-3.9,0.3,-8.4,54.4,2.5,,9.5,
2010-02-06,232,-4.7,1.8,-11.3,59.0,1.7,,9.7,
2010-02-07,232,0.2,8.0,-10.3,45.1,1.5,,5.2,
2010-02-08,232,3.9,5.3,2.6,64.8,1.6,0.5,0.0,
2010-02-09,232,4.2,5.1,3.1,96.0,1.0,11.0,0.0,
2010-02-10,232,3.7,5.3,2.1,96.1,1.3,3.0,0.0,
