tm,feels_like_max,feels_like_min,ta_hourly_max,ta_hourly_min
2010-01-01,-3.6126732501911736,-13.642267598856296,-1.1835582233044304,-10.801879605031825
2010-01-02,0.7962230754735795,-7.002153644048294,3.038722338135655,-3.4104378233873005
2010-01-03,-3.3466429265725193,-10.760684244639712,-0.5126872899191319,-6.960269538958465
2010-01-04,-3.8871429608655776,-8.824677583013939,0.09800789719371232,-4.259013522656514
2010-01-05,-8.75162567133235,-13.048547902837823,-3.8846702446722152,-8.880566282150962
2010-01-06,-9.138253556605228,-15.368160436212662,-4.637510250780419,-12.061819167147071
2010-01-07,-7.068447975161155,-15.146110453768465,-3.3509774947834976,-11.699620098050369
2010-01-08,-3.9777992071988626,-14.9887162787348,-0.723643900884134,-11.116974987521687
2010-01-09,-1.2987670438711034,-10.155013866066676,0.003002130071886086,-7.780508551545173
2010-01-10,-0.39034138508335914,-6.365390219625503,1.2732326858760987,-4.2389364974421975
2010-01-11,-3.0248138020777207,-8.392073156537652,0.17821012198473138,-5.756416484739603
2010-01-12,-8.772528224963636,-13.135274118794978,-3.970564466080679,-8.777807142045791
2010-01-13,-12.715248735007519,-17.35206737483077,-6.805680515030719,-12.117618813537955
2010-01-14,-2.6838603038510853,-15.321818549439065,-2.1306922351573068,-12.656004372980048
2010-01-15,-0.9275919693429906,-8.863677649405275,1.8861417921323627,-5.690134915770482
2010-01-16,-2.0017913906515705,-11.827824457261219,0.7628583101329383,-9.620276856292454
2010-01-17,1.2352674712112883,-9.260045616855285,3.3114335481590964,-8.855931171925945
2010-01-18,4.42219698895518,-6.332694107989566,5.488707022094883,-5.259640730065794
2010-01-19,8.093978732871205,-3.7435987800871566,9.25202998214454,-2.158046046547222
2010-01-20,9.182744390446139,4.725967026892459,9.835645827177643,6.250854598254722
2010-01-21,3.4811074056656306,-8.639033033387493,5.759928203262721,-4.106198643406976
2010-01-22,-5.253552328800005,-11.455466085750022,-0.8442586959063355,-6.518074921550076
2010-01-23,-2.967774529577345,-9.78494217789503,0.5756627439099771,-6.845977214276454
2010-01-24,2.084430226275625,-6.2055110644356075,5.021366359893182,-3.8914003153002055
2010-01-25,0.8175387186165506,-9.362535592572367,2.4711825436489328,-4.66792720697773
2010-01-26,-0.10948909370461934,-10.649676015752519,2.7276558087940455,-7.45303659066872
2010-01-27,3.5518568703473004,-6.556313527341271,5.362127770422739,-3.8115780538259134
