tm,ta_avg,ta_max,ta_min,hm_avg,ws_avg,rn_day,ss_day,ss_day_n_stations,cdd_18,hdd_18,cdd_18_ma3,hdd_18_ma3,cdd_18_ma7,hdd_18_ma7,feels_like_max,feels_like_min,ta_hourly_max,ta_hourly_min,heat_feels_th_2day_adv,heat_feels_th_2day_wrn,cold_th_2day_adv,cold_th_2day_wrn,dow,month,is_weekend,is_holiday,pop_total,ip_total
2010-01-01,-5.482130002997483,-0.6593032802932866,-11.109709530504846,52.48136366647126,1.6824308265083534,0.0030284031096412,7.676279253647769,16,0.0,23.482130002997483,0.0,21.35234000148257,0.0,23.104911549334304,-3.6126732501911736,-13.642267598856296,-1.1835582233044304,-10.801879605031823,0,0,0,0,4,1,0,1,50515666,79.3
2010-01-02,-0.807185505581576,3.848667516330474,-5.241713671556856,71.10516852336455,2.304041496750729,0.6935956679260643,1.2632269819029998,16,0.0,18.80718550558157,0.0,21.35234000148257,0.0,23.104911549334304,0.7962230754735795,-7.002153644048294,3.038722338135655,-3.4104378233873005,0,0,0,0,5,1,1,0,50515666,79.3
2010-01-03,-3.7677044958686654,-0.0472014127261048,-7.394423064718176,49.98956229142852,1.921252424940808,0.0,8.23784118574226,16,0.0,21.767704495868664,0.0,21.35234000148257,0.0,23.104911549334304,-3.3466429265725197,-10.760684244639712,-0.5126872899191319,-6.960269538958465,0,0,0,0,6,1,1,0,50515666,79.3
2010-01-04,-2.7459782179255035,0.711222956062776,-5.122051127664037,76.37224275930554,2.816844085555556,8.563877063404446,0.7096995969527552,16,0.0,20.745978217925504,0.0,20.440289406458582,0.0,23.104911549334304,-3.8871429608655776,-8.824677583013939,0.0980078971937123,-4.259013522656514,0,0,0,0,0,1,0,0,50515666,79.3
2010-01-05,-6.411501271704501,-3.1810758131942665,-9.352543036847218,64.526579509018,2.972885066981001,0.4702536417118593,6.992637557228288,16,0.0,24.411501271704505,0.0,22.30839466183289,0.0,23.104911549334304,-8.75162567133235,-13.048547902837823,-3.8846702446722152,-8.880566282150962,0,0,0,0,1,1,0,0,50515666,79.3
2010-01-06,-8.562423716238834,-4.010631626632418,-12.52202807936848,65.33976689726306,2.0703039053271097,0.0763011993150796,7.660339736983771,16,0.0,26.562423716238836,0.0,23.90663440195628,0.0,23.104911549334304,-9.138253556605228,-15.368160436212662,-4.637510250780419,-12.061819167147071,0,0,0,0,2,1,0,0,50515666,79.3
2010-01-07,-7.9574576350235535,-2.699782505094557,-12.44529199318088,65.42854432325998,1.8874050972623009,0.011916877429667,8.09070683340095,16,0.0,25.95745763502355,0.0,25.643794207655628,0.0,23.104911549334304,-7.068447975161155,-15.146110453768465,-3.3509774947834976,-11.699620098050367,0,0,0,0,3,1,0,0,50515666,79.3
2010-01-08,-6.3741660497953205,-0.2310980280849913,-11.58033734327089,67.07810814371916,1.7111748026839817,0.0022616944216869,7.812227676063896,16,0.0,24.37416604979532,0.0,25.6313491336859,0.0,23.232345270305423,-3.977799207198863,-14.9887162787348,-0.723643900884134,-11.116974987521688,0,0,0,0,4,1,0,0,50515666,79.3
2010-01-09,-3.6021042244597923,0.5621939241581004,-8.36667423527584,71.20827098270856,1.231441281997548,0.1957762013867143,1.4316415466045718,16,0.0,21.602104224459797,0.0,23.97790930309289,0.0,23.63161937300231,-1.2987670438711034,-10.155013866066676,0.003002130071886,-7.780508551545173,0,0,0,0,5,1,1,0,50515666,79.3
2010-01-10,-1.9620487751265117,1.9428263065956588,-5.070683221319894,74.6005796479056,1.423917204219379,0.0056542360542173,1.6679867251477996,16,0.0,19.96204877512651,0.0,21.979439683127207,0.0,23.373668555753436,-0.3903413850833591,-6.365390219625503,1.2732326858760987,-4.2389364974421975,0,0,0,0,6,1,1,0,50515666,79.3
2010-01-11,-3.001169134343393,0.8409454979768043,-6.63246461602624,71.32341309723596,2.147658876753201,0.0011308472108434,1.5686435629691589,16,0.0,21.001169134343392,0.0,20.85510737797657,0.0,23.41012440095599,-3.0248138020777207,-8.392073156537652,0.1782101219847313,-5.756416484739603,0,0,0,0,0,1,0,0,50515666,79.3
2010-01-12,-6.568626774117951,-3.383023373382822,-9.55107180810008,52.35845145147641,2.7399194677548127,0.1832482204629347,6.60106161324291,16,0.0,24.568626774117952,0.0,21.84394822786261,0.0,23.432570901300767,-8.772528224963636,-13.135274118794978,-3.970564466080679,-8.777807142045791,0,0,0,0,1,1,0,0,50515666,79.3
2010-01-13,-9.642864599666956,-6.264857980888539,-12.388139099264762,54.4956916474188,3.120636461568177,0.361902757057582,8.158240467422523,16,0.0,27.64286459966696,0.0,24.4042201693761,0.0,23.586919598933356,-12.71524873500752,-17.35206737483077,-6.805680515030719,-12.117618813537955,0,0,0,0,2,1,0,0,50515666,79.3
2010-01-14,-7.048862246020864,-1.5516705055417856,-13.291957629540102,59.69922160582813,1.5192774712700003,0.0342001964301528,7.209851476569665,16,0.0,25.048862246020864,0.0,25.753451206601923,0.0,23.45712025764725,-2.6838603038510853,-15.321818549439064,-2.1306922351573068,-12.656004372980048,0,0,1,0,3,1,0,0,50515666,79.3
2010-01-15,-2.746261819056289,2.690383420857993,-6.746367817856737,65.27156664231642,1.855630219742128,0.3217804472774839,6.172027220229068,16,0.0,20.74626181905629,0.0,24.479329554914703,0.0,22.938848224684538,-0.9275919693429906,-8.863677649405275,1.8861417921323629,-5.690134915770482,0,0,0,0,4,1,0,0,50515666,79.3
2010-01-16,-4.602709755425176,1.3865935430802772,-10.103662640021406,55.09026258705562,1.5689217677541842,0.0,8.856831223407012,16,0.0,22.60270975542517,0.0,22.799277940167443,0.0,23.081791871965304,-2.0017913906515705,-11.82782445726122,0.7628583101329383,-9.620276856292454,0,0,0,0,5,1,1,0,50515666,79.3
2010-01-17,-3.018120622224399,4.091126160743873,-9.29523108336332,56.52997702534493,1.1411692562857618,0.0,8.629495527189526,16,0.0,21.0181206222244,0.0,21.45569739890196,0.0,23.23265927869357,1.2352674712112883,-9.260045616855283,3.3114335481590964,-8.855931171925945,0,0,0,0,6,1,1,0,50515666,79.3
