tm,cdd_18,hdd_18,cdd_18_ma3,hdd_18_ma3,cdd_18_ma7,hdd_18_ma7
2010-01-01,0.0,23.482130002997483,0.0,21.352340001482574,0.0,23.104911549334304
2010-01-02,0.0,18.807185505581575,0.0,21.352340001482574,0.0,23.104911549334304
2010-01-03,0.0,21.767704495868664,0.0,21.352340001482574,0.0,23.104911549334304
2010-01-04,0.0,20.745978217925504,0.0,20.440289406458582,0.0,23.104911549334304
2010-01-05,0.0,24.411501271704502,0.0,22.308394661832892,0.0,23.104911549334304
2010-01-06,0.0,26.562423716238833,0.0,23.90663440195628,0.0,23.104911549334304
2010-01-07,0.0,25.95745763502355,0.0,25.643794207655628,0.0,23.104911549334304
2010-01-08,0.0,24.37416604979532,0.0,25.6313491336859,0.0,23.232345270305423
2010-01-09,0.0,21.602104224459794,0.0,23.97790930309289,0.0,23.63161937300231
2010-01-10,0.0,19.96204877512651,0.0,21.979439683127207,0.0,23.373668555753433
2010-01-11,0.0,21.001169134343392,0.0,20.855107377976566,0.0,23.41012440095599
2010-01-12,0.0,24.568626774117952,0.0,21.843948227862615,0.0,23.432570901300767
2010-01-13,0.0,27.642864599666957,0.0,24.4042201693761,0.0,23.586919598933353
2010-01-14,0.0,25.048862246020864,0.0,25.753451206601923,0.0,23.457120257647254
2010-01-15,0.0,20.74626181905629,0.0,24.479329554914703,0.0,22.938848224684538
2010-01-16,0.0,22.602709755425174,0.0,22.799277940167443,0.0,23.081791871965304
2010-01-17,0.0,21.018120622224398,0.0,21.455697398901957,0.0,23.232659278693575
2010-01-18,0.0,17.93321647783482,0.0,20.518015618494797,0.0,22.794380327763776
2010-01-19,0.0,13.9084162307194,0.0,17.619917776926204,0.0,21.27149310727827
2010-01-20,0.0,10.17520285093342,0.0,14.005611853162547,0.0,18.776112857459196
2010-01-21,0.0,18.10870566172482,0.0,14.064108247792547,0.0,17.784661916845476
2010-01-22,0.0,22.133952320850327,0.0,16.805953611169524,0.0,17.982903417101763
2010-01-23,0.0,21.28999080997962,0.0,20.51088293085159,0.0,17.795372139180973
2010-01-24,0.0,17.208813135315292,0.0,20.210918755381744,0.0,17.251185355336812
2010-01-25,0.0,18.30679194450292,0.0,18.93519862993261,0.0,17.304553279146543
