tm,ta_avg,ta_max,ta_min,hm_avg,ws_avg,rn_day,ss_day,ss_day_n_stations
2010-01-01,-5.482130002997483,-0.6593032802932866,-11.109709530504846,52.48136366647126,1.6824308265083534,0.0030284031096412703,7.676279253647769,16
2010-01-02,-0.807185505581576,3.848667516330474,-5.241713671556856,71.10516852336455,2.304041496750729,0.6935956679260643,1.2632269819029998,16
2010-01-03,-3.7677044958686663,-0.04720141272610489,-7.394423064718176,49.98956229142852,1.9212524249408078,0.0,8.23784118574226,16
2010-01-04,-2.7459782179255035,0.711222956062776,-5.122051127664037,76.37224275930554,2.816844085555556,8.563877063404446,0.7096995969527552,16
2010-01-05,-6.411501271704501,-3.1810758131942665,-9.352543036847218,64.526579509018,2.972885066981001,0.47025364171185935,6.992637557228288,16
2010-01-06,-8.562423716238834,-4.010631626632418,-12.52202807936848,65.33976689726306,2.0703039053271097,0.07630119931507964,7.660339736983771,16
2010-01-07,-7.9574576350235535,-2.699782505094557,-12.44529199318088,65.42854432325998,1.8874050972623009,0.01191687742966704,8.09070683340095,16
2010-01-08,-6.3741660497953205,-0.2310980280849913,-11.58033734327089,67.07810814371916,1.7111748026839817,0.00226169442168692,7.8122276760638965,16
2010-01-09,-3.6021042244597923,0.5621939241581004,-8.36667423527584,71.20827098270856,1.231441281997548,0.1957762013867143,1.4316415466045718,16
2010-01-10,-1.9620487751265114,1.9428263065956588,-5.070683221319894,74.6005796479056,1.423917204219379,0.0056542360542173,1.6679867251477996,16
2010-01-11,-3.001169134343393,0.8409454979768043,-6.63246461602624,71.32341309723596,2.1476588767532014,0.00113084721084346,1.5686435629691589,16
2010-01-12,-6.568626774117951,-3.383023373382822,-9.55107180810008,52.35845145147641,2.7399194677548127,0.18324822046293476,6.60106161324291,16
2010-01-13,-9.642864599666956,-6.264857980888539,-12.388139099264762,54.495691647418795,3.120636461568177,0.36190275705758207,8.158240467422523,16
2010-01-14,-7.048862246020864,-1.5516705055417856,-13.291957629540102,59.69922160582813,1.5192774712700003,0.034200196430152895,7.209851476569665,16
2010-01-15,-2.746261819056289,2.6903834208579935,-6.746367817856737,65.27156664231642,1.8556302197421277,0.3217804472774839,6.172027220229068,16
2010-01-16,-4.602709755425176,1.3865935430802772,-10.103662640021406,55.09026258705562,1.5689217677541842,0.0,8.856831223407012,16
2010-01-17,-3.018120622224399,4.091126160743873,-9.295231083363321,56.52997702534493,1.1411692562857618,0.0,8.629495527189526,16
2010-01-18,0.06678352216518296,6.129451683364913,-5.802234651325785,64.57805773163513,1.22174915203533,0.0,3.7633158434454748,16
2010-01-19,4.091583769280599,9.768496420496556,-2.591910578789556,69.15614170265512,1.6541375263665719,0.9440461380831835,5.111207204513546,16
2010-01-20,7.8247971490665815,10.379848724552094,4.841387206495501,93.90843700249337,1.7620435292291292,11.10442078502933,0.004523388843373844,16
2010-01-21,-0.10870566172482128,6.002304396026368,-4.65243687176172,62.959185481193046,3.689303035220793,1.6826300993438335,7.591994299352602,16
2010-01-22,-4.133952320850326,-0.3273623453761856,-6.70670400346696,50.05335229075269,3.1617704852193746,0.0,8.149528932272219,16
2010-01-23,-3.289990809979619,1.209527951190427,-7.138485902571288,54.16115615698302,2.212565414855659,0.05563013462002054,8.462862491014175,16
2010-01-24,0.7911868646847089,5.530138543555969,-4.696504258698674,64.9798687698188,2.163128721296081,0.0060568062192825406,6.413392011895874,16
2010-01-25,-0.3067919445029199,4.753119066073479,-5.259545322039303,51.83186353714505,3.2941543639155397,0.00452338884337384,8.208787123582614,16
2010-01-26,-2.5741414594038994,3.3830994052419268,-7.909263391677341,51.675868220761416,1.942517345015305,0.0,9.250553521357118,16
2010-01-27,1.5351148849546974,6.27528076141765,-4.377463058687573,73.09920841784006,1.8018808165371893,6.8437317524428884,3.6915581336688703,16
2010-01-28,2.2686367611188154,5.811441822819869,-1.7524125347570392,65.78993184807258,2.9953748466861723,0.03148529012762097,6.958644799417274,16
2010-01-29,-0.1643589139258312,4.135039468746186,-4.836833921975805,55.14319938887864,2.5509261404175074,0.0061348414173139805,5.852601749326634,16
2010-01-30,1.8159700062154955,6.797302605096797,-2.7907318533620815,66.29965683714825,1.5706402603897163,0.09816829298063662,3.126766266924007,16
2010-01-31,2.848573648420271,7.830796955146541,-0.7060631547449063,75.1474043438326,1.0836371057643772,0.00853381008576624,2.693476241607899,16
2010-02-01,2.0596597063572295,6.301903451099699,-1.0295838779993516,72.18996131417919,2.183049505870118,0.16397284557230168,2.9009166621697124,16
2010-02-02,-3.1227689881392426,0.28708246467541243,-6.058949829543963,33.89905268001413,3.47459973308082,0.0,8.420999277729011,16
2010-02-03,-5.7499317360281825,-1.959977352372232,-8.792389746974724,38.644886172538996,2.8493370036930696,0.0,9.559700505581773,16
2010-02-04,-3.0007034728592887,1.620217203510687,-8.156808745231622,52.16222057925551,2.2108753054943375,0.01674500738048269,8.498609443256672,16
2010-02-05,-2.690091374822217,1.4071419487966341,-5.7629528768362634,40.30018957683342,2.5583589059283094,0.0,9.282180351734846,16
2010-02-06,-3.0486384718752384,3.2519980356192835,-8.589586747208276,41.79778460408694,1.8733088582856636,0.0,9.800706954947403,16
2010-02-07,1.537011029410162,8.128090026567197,-6.770921070307175,43.91477412175459,1.2777857645190691,0.01766552182049818,5.813904918129754,16
2010-02-08,4.983361391295915,7.270779175711544,3.288394843690665,68.33718529218237,1.1915567835926375,1.805547465216036,0.010582885317200388,16
2010-02-09,5.253897883876257,6.693784619210993,3.7158919314257846,92.64228424109061,1.1823052971329717,10.326188731234382,0.05398350088069701,16
