년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),최소전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시,최소전력기준일시
2019,01,24,119350,99535,80239,-,19296,24,2019/01/24(10:00),-
2019,01,25,119350,99688,81007,-,18681,23.1,2019/01/25(10:00),-
2019,01,26,119350,97796,68954,-,28842,41.8,2019/01/26(09:00),-
2019,01,27,119350,97470,65189,-,32281,49.5,2019/01/27(01:00),-
2019,01,28,119350,99745,80399,-,19346,24.1,2019/01/28(10:00),-
2019,01,29,119350,100298,81215,-,19083,23.5,2019/01/29(10:00),-
2019,01,30,119350,99728,80741,-,18987,23.5,2019/01/30(10:00),-
2019,01,31,119350,99590,83652,-,15938,19.1,2019/01/31(11:00),-
2019,02,01,119350,99950,80556,-,19394,24.1,2019/02/01(10:00),-
2019,02,02,119350,96386,67202,-,29184,43.4,2019/02/02(01:00),-
2019,02,03,119350,96030,60334,-,35696,59.2,2019/02/03(01:00),-
2019,02,04,119350,94102,57603,-,36499,63.4,2019/02/04(01:00),-
2019,02,05,119350,94577,55340,-,39237,70.9,2019/02/05(24:00),-
2019,02,06,119350,95737,56835,-,38902,68.4,2019/02/06(24:00),-
2019,02,07,119350,97979,72824,-,25155,34.5,2019/02/07(10:00),-
2019,02,08,119350,99739,79253,-,20486,25.8,2019/02/08(10:00),-
2019,02,09,119350,98259,67498,-,30761,45.6,2019/02/09(24:00),-
2019,02,10,119350,97303,65225,-,32078,49.2,2019/02/10(19:00),-
2019,02,11,119350,98662,81369,-,17293,21.3,2019/02/11(10:00),-
2019,02,12,119350,98910,81684,-,17226,21.1,2019/02/12(10:00),-
2019,02,13,119350,98297,80849,-,17448,21.6,2019/02/13(10:00),-
2019,02,14,119350,98101,81477,-,16624,20.4,2019/02/14(10:00),-
2019,02,15,119350,98165,81471,-,16694,20.5,2019/02/15(10:00),-
2019,02,16,119350,95215,67769,-,27446,40.5,2019/02/16(11:00),-
2019,02,17,119350,96719,64033,-,32686,51,2019/02/17(24:00),-
2019,02,18,119350,97919,80394,-,17525,21.8,2019/02/18(10:00),-
2019,02,19,119350,98738,82869,-,15869,19.1,2019/02/19(11:00),-
2019,02,20,119350,97769,79777,-,17992,22.6,2019/02/20(10:00),-
2019,02,21,119350,97508,78291,-,19217,24.5,2019/02/21(10:00),-
2019,02,22,119350,95280,77656,-,17624,22.7,2019/02/22(10:00),-
2019,02,23,119350,94747,65016,-,29731,45.7,2019/02/23(01:00),-
