model,MAE,RMSE,MAPE_%,bias_mean,PI95_cov_%
ARIMAX one-shot,3061.684521526528,3963.993076509265,4.156434007880134,58.20986714196465,95.34246575342465
ARIMAX rolling 1-step,1522.555920259158,2184.052633928222,2.0919248989947157,-3.9519807446002084,
SARIMA(no exog) one-shot,7336.937295493769,8603.140503241533,10.329686916019243,-2532.718910651484,
Naive (전일),4311.109589041096,6241.154161570851,5.945201992546067,13.0,
Seasonal Naive (전주 동요일),4602.364383561644,6454.808786361773,6.205464513289282,21.54794520547945,
