order,seasonal_order,exog_subset,n_exog,AIC,BIC,loglik,LB_p_lag10,LB_p_lag20
"(1, 1, 1)","(1, 1, 1, 7)",none,0,101863.8535690644,101896.88142057457,-50926.9267845322,1.3636836148635191e-11,1.7890796071738835e-13
"(1, 1, 1)","(1, 1, 1, 7)",minimal,6,99782.60108256503,99855.2623558874,-49880.300541282515,0.00010104068082295069,0.00015326765756112784
"(1, 1, 1)","(1, 1, 1, 7)",phase1,16,98544.91030193263,98683.62727827534,-49251.455150966314,9.23786549207944e-05,0.00018852882452317837
"(2, 1, 1)","(1, 1, 1, 7)",none,0,101791.78080709523,101831.41422890744,-50889.890403547615,0.0044625792958013,7.031628292416563e-05
"(2, 1, 1)","(1, 1, 1, 7)",minimal,6,99116.86937137399,99196.13621499839,-49546.434685686996,1.6710161167796246e-06,3.089889053921958e-06
"(2, 1, 1)","(1, 1, 1, 7)",phase1,16,98536.67308398715,98681.99563063189,-49246.33654199357,4.331782032163851e-06,1.3619729134842272e-05
"(1, 1, 2)","(1, 1, 1, 7)",none,0,101782.95244298168,101822.58476619459,-50885.47622149084,0.005039692988118213,4.469648886604962e-05
"(1, 1, 2)","(1, 1, 1, 7)",minimal,6,99089.16385258803,99168.42849901385,-49532.58192629401,4.232527229959885e-06,3.6541137217881646e-06
"(1, 1, 2)","(1, 1, 1, 7)",phase1,16,98489.91518306737,98635.2337015147,-49222.95759153368,2.5146572580849677e-05,7.010284414123062e-07
