model,log_target,n_exog,AIC,BIC,MAE_2025,RMSE_2025,MAPE_2025_%,bias_2025,PI95_cov_%,resid_skew,resid_kurt,LB_p_lag10,LB_p_lag20
v2 (baseline),False,14,99214.55976512787,99346.6675091709,2969.0961292259253,3867.6541988471654,4.034897580832364,16.433214259167897,97.53424657534246,-1.356388228563345,9.624562958612408,0.03978613022494054,0.0009527166965862194
v3a log,True,14,-23736.233247355485,-23604.125503312443,2735.5418062893054,3604.9208699189817,3.7031834583560714,284.82418426534844,95.06849315068493,-1.6919492621251895,13.41445501272931,8.280953059320574e-05,8.220736045495612e-05
v3b log+OR더미,True,12,-23735.697067882058,-23616.80009824332,2739.208280463879,3611.3244972610723,3.7061295430977483,304.2859844035912,95.06849315068493,-1.6931674649652764,13.398609514425448,7.167157255914861e-05,8.187646590745915e-05
v3c log+OR+nonlinear,True,14,-23830.960486427863,-23698.85274238482,2667.5103979826763,3485.9389038514387,3.62967310746398,236.0785428786478,95.34246575342465,-1.754743421138449,13.899681710056331,4.853306496016898e-05,5.797361126422637e-05
