tm,stn,ta_avg,ta_max,ta_min,hm_avg,ws_avg,rn_day,ss_day,si_day,ta_avg_src,ta_max_src,ta_min_src,hm_avg_src,ws_avg_src
2010-01-01,184,3.7,7.3,1.6,51.1,3.1,,5.3,9.38,raw,raw,raw,raw,raw
2010-01-02,184,9.0,14.5,2.7,58.1,4.8,,5.4,9.39,raw,raw,raw,raw,raw
2010-01-03,184,4.2,6.6,1.8,52.1,3.2,,7.4,11.88,raw,raw,raw,raw,raw
2010-01-04,184,6.6,12.5,2.0,60.0,6.2,1.0,0.6,3.1,raw,raw,raw,raw,raw
2010-01-05,184,1.8,4.0,1.1,64.9,7.4,1.0,0.0,1.32,raw,raw,raw,raw,raw
2010-01-06,184,2.2,2.6,1.3,60.4,6.6,0.5,0.0,1.42,raw,raw,raw,raw,raw
2010-01-07,184,2.9,3.4,2.1,64.6,6.0,0.1,0.0,0.86,raw,raw,raw,raw,raw
2010-01-08,184,3.7,4.9,2.7,65.5,5.2,0.2,0.0,1.34,raw,raw,raw,raw,raw
2010-01-09,184,6.1,8.0,3.1,63.8,2.9,,0.0,3.68,raw,raw,raw,raw,raw
2010-01-10,184,6.8,8.6,5.7,66.8,3.1,0.5,0.5,5.95,raw,raw,raw,raw,raw
2010-01-11,184,5.3,6.0,4.3,63.8,4.8,0.1,0.0,1.71,raw,raw,raw,raw,raw
2010-01-12,184,2.7,4.4,0.0,57.6,6.6,4.5,1.0,5.08,raw,raw,raw,raw,raw
2010-01-13,184,0.1,1.4,-2.3,64.9,8.8,3.3,0.8,4.84,raw,raw,raw,raw,raw
2010-01-14,184,2.7,4.8,0.5,61.9,4.3,0.5,0.7,4.54,raw,raw,raw,raw,raw
2010-01-15,184,6.8,9.5,3.3,57.0,4.5,,2.3,6.88,raw,raw,raw,raw,raw
2010-01-16,184,2.9,6.7,0.7,61.8,2.5,,4.5,9.82,raw,raw,raw,raw,raw
2010-01-17,184,2.9,7.4,-0.5,62.3,1.3,,5.9,11.15,raw,raw,raw,raw,raw
2010-01-18,184,6.4,10.7,1.6,53.1,2.1,,8.2,12.52,raw,raw,raw,raw,raw
2010-01-19,184,10.1,16.5,3.5,57.3,2.2,,7.8,11.97,raw,raw,raw,raw,raw
2010-01-20,184,15.6,18.9,12.2,77.9,3.9,2.0,0.4,4.64,raw,raw,raw,raw,raw
2010-01-21,184,4.9,12.8,2.2,70.9,5.3,0.5,0.5,4.9,raw,raw,raw,raw,raw
2010-01-22,184,3.0,4.2,2.3,59.8,5.4,,0.6,3.41,raw,raw,raw,raw,raw
2010-01-23,184,3.3,4.3,2.7,59.8,5.7,,0.1,2.59,raw,raw,raw,raw,raw
2010-01-24,184,5.2,8.7,1.6,58.6,2.5,,6.4,11.43,raw,raw,raw,raw,raw
2010-01-25,184,5.1,8.4,1.5,57.6,5.7,0.4,3.5,9.39,raw,raw,raw,raw,raw
2010-01-26,184,3.0,6.2,1.5,60.5,2.5,,5.9,12.6,raw,raw,raw,raw,raw
2010-01-27,184,8.2,14.0,0.8,66.6,3.1,12.0,1.0,3.45,raw,raw,raw,raw,raw
2010-01-28,184,6.9,10.3,4.3,65.0,3.8,,3.0,8.71,raw,raw,raw,raw,raw
2010-01-29,184,4.9,8.3,1.7,63.1,2.7,,5.6,11.44,raw,raw,raw,raw,raw
2010-01-30,184,6.6,11.2,2.6,76.0,2.2,7.5,2.2,5.46,raw,raw,raw,raw,raw
2010-01-31,184,9.2,10.0,8.4,82.9,2.8,0.5,0.0,0.8,raw,raw,raw,raw,raw
2010-02-01,184,6.2,8.6,4.4,72.4,4.0,14.5,0.7,2.98,raw,raw,raw,raw,raw
2010-02-02,184,3.0,5.2,0.8,54.5,4.3,,4.2,10.84,raw,raw,raw,raw,raw
2010-02-03,184,1.2,2.7,-0.3,61.6,4.1,0.0,0.7,5.48,raw,raw,raw,raw,raw
2010-02-04,184,2.8,4.7,-0.2,54.6,3.2,,1.2,6.68,raw,raw,raw,raw,raw
2010-02-05,184,4.7,7.4,1.9,57.0,3.6,,2.9,8.69,raw,raw,raw,raw,raw
2010-02-06,184,3.2,6.1,1.0,46.9,2.3,,9.1,15.47,raw,raw,raw,raw,raw
2010-02-07,184,7.7,10.6,2.5,63.6,3.2,0.3,0.0,5.11,raw,raw,raw,raw,raw
2010-02-08,184,12.5,16.3,8.5,86.0,1.9,0.5,0.6,6.74,raw,raw,raw,raw,raw
2010-02-09,184,14.1,18.3,10.3,85.4,1.2,0.2,2.9,10.06,raw,raw,raw,raw,raw
2010-02-10,184,11.8,15.1,9.5,92.1,2.5,3.5,0.0,1.01,raw,raw,raw,raw,raw
2010-02-11,184,8.9,12.3,5.8,88.1,4.8,26.0,0.0,1.05,raw,raw,raw,raw,raw
2010-02-12,184,4.7,6.3,3.6,77.1,4.5,14.5,0.0,0.9,raw,raw,raw,raw,raw
2010-02-13,184,2.6,3.7,1.8,59.0,4.5,,0.1,4.29,raw,raw,raw,raw,raw
2010-02-14,184,3.5,6.1,0.9,72.1,2.2,1.0,0.0,3.95,raw,raw,raw,raw,raw
2010-02-15,184,5.1,8.1,2.1,63.9,4.6,,5.5,13.16,raw,raw,raw,raw,raw
2010-02-16,184,2.2,4.4,1.2,54.9,5.1,,3.2,11.91,raw,raw,raw,raw,raw
2010-02-17,184,3.4,6.3,1.4,49.8,3.3,1.0,6.8,15.47,raw,raw,raw,raw,raw
2010-02-18,184,2.8,5.0,1.9,52.0,6.7,0.5,0.4,5.77,raw,raw,raw,raw,raw
2010-02-19,184,4.6,7.6,2.1,49.0,4.2,,2.8,9.97,raw,raw,raw,raw,raw
2010-02-20,184,6.5,11.1,2.7,54.1,2.1,,6.9,16.23,raw,raw,raw,raw,raw
2010-02-21,184,7.4,13.1,2.0,53.8,2.1,,10.3,18.7,raw,raw,raw,raw,raw
